Entity,languages,Affiliation,English,Spanish,EN_sentiment,ES_sentiment,sentimentDiff_EN-ES,sentimentDiff_ES-EN
Pennsylvania Cable Network,en,R,We're LIVE with today's Coronavirus Update from Secretary of Health Dr. Levine and Governor Tom Wolf. Make sure to like our page for updates on our upcoming programming!,Wir sind LIVE mit dem heutigen Coronavirus Update,4.3835,4.1453,0.23819999999999997,-0.23819999999999997
Everyone In LA,en,R,"We know how to end homelessness in L.A. County, so what's taking so long? On the anniversary of Prop. HHH, we're spotlighting solutions and speaking to some of the innovators and agitators working to make more housing available to more people. Moderated by KCRW's Warren Olney.","Wir wissen, wie man die Heimlosigkeit in der Grafschaft",3.4744,4.3647,-0.8902999999999999,0.8902999999999999
Keep Pflugerville Affordable,en,R,PFLUGERVILLE !!!!!\nLET'S KEEP PFLUGERVILLE AFFORDABLE!\n \nTired of the City Council trying to raise our PROPERTY TAXES the Maximum every year?\nLet's make a Change! Vote for Lower Taxation!\n\nVote Bob Reichenbach for Place 4\nVote David Rogers for Place 6\nVote Ceasar Ruiz for Place 2\n\nNote... KPA Facebook group is a NON-PARTISAN group of concerned Pflugerville Taxpayers that strive to provide fiscal oversight of our local elected CITY officials.\nOur discussion group is here: https://www.facebook.com/groups/KeepPfAffordable/,es: PFLUGERVILLE!!!!!nLET'S,2.726,2.6554,0.07059999999999977,-0.07059999999999977
Jason Kishineff,en,R,"Candidates, a lot of times, are only asked specific questions, and not offered a chance to speak for a longer time, which prevents an individual from laying out how their ideas fit together (or don't). I was invited to speak about my vision for 10 minutes by the Fil-Am Community of American Canyon. I went over by 1 minute and the video got cut-off, so I redid it.\n\n100% Grassroots funded, as always.\nhttps://www.paypal.com/paypalme/JasonKishineff","en to es, a lot of times, are only asked specific questions,",1.9099,2.496,-0.5861000000000001,0.5861000000000001
THIS IS REVOLUTION podcast,en,R,"Q&A With Professor Harvey J. Kaye\n\nTalking FDR, Thomas Paine, and the current state of affairs with Professor Harvey J. Kaye and of course...ALL Y'ALL!",Q&A cu profesorul Harvey J. Kaye,4.3073,3.8655,0.44179999999999975,-0.44179999999999975
Bienvenido,en,R,"A MUST HEAR MESSAGE FOR YOU! Abraham Enriquez & Michael Seifert talk about politics, culture, & biblical values!",A MUST HEAR MESSAGE FOR YOU!,4.7516,4.7925,-0.0409000000000006,0.0409000000000006
Michelle Mortensen,en,R,ICYMI: The Michelle Mortensen Show.\nToday\'s topics:\n1) Protestors Shouting I Hope You Die outside the hospital where 2 cops were getting life saving surgery after an ambush in CA.\n2) Trump in Nevada and how the Governor Responded.\n3) The COVID Vaccine \n4) A Big change to #MNF\nWatch Now!,ICYMI: The Michelle Mortensen Show.,3.2536,3.9589,-0.7052999999999998,0.7052999999999998
The Jim Price Show,en,R,This content was removed because it didn't follow our Advertising Standards.,This content was removed because it didn't follow our Advertising,1.8693,1.8333,0.03600000000000003,-0.03600000000000003
Mark P. Meuser,en,R,"Scientific evidence that Gavin Newsom may have killed over 100,000 Americans by ordering shelter in place in California. \n\nWarning, I am not a scientist and I do not play one on social media, but I am an attorney and it is my job to present evidence to the jury. Please be my jury today as I present my case that Gavin Newsom is guilty of murder. \n\nPlease share this video if you think others need to hear this evidence.",en to es Dovezi ştiinţifice că Gavin New,2.8157,3.2584,-0.44269999999999987,0.44269999999999987
CA Senate Republican Caucus,en,R,"Keep in mind that these photos were shot in Sacramento — not Los Angeles, San Francisco or Oakland, epicenters of the homeless crisis in this state. One can only imagine what those cities look like. \n\nThis is $150 million (Senate Bill 89, COVID-19 funds) on top of the $830 million from the 2018-19 budget and $650 million in the 2019-20 budget for homeless programs.\n\nWhere did all that money go? \nGavin Newsom California Governor’s Office of Business and Economic Development (GO-Biz) California Department of Public Health California #homeless #CADeservesBetter #COVID19 #homelesscrisis Sacramento City Council Chambers Darrell Steinberg Visit Sacramento Sacramento Metro Chamber Mark Ridley-Thomas Sacramento County Sheriff’s Office Sacramento County Fair Sacramento County Board of Supervisors Offices",en to es en to es en to es,1.914,3.1241,-1.2101,1.2101
Assemblyman Tom Lackey,en,R,"I am 100% supportive of Kern County's request to California Governor, giving local government considerable latitude to reopen. We cannot have a one-size-fits-all approach to this process mandated by Sacramento.",Ich unterstütze die Forderung des Kern County an den California,4.4381,4.2863,0.1518000000000006,-0.1518000000000006
The Right Call,en,R,Governors have now lost control of their people. More and more are pushing back against extreme lockdowns. And Joe Biden is still a hypocrite.,"Governors have lost control of their people, and more are",3.5575,2.2663,1.2912,-1.2912
Partido Demócrata del Condado Hays,es,R,nnSi los tejanos continan bati,"De Beto O'Rourke:\n\nSi los tejanos continúan batiendo récords de votación, Joe Biden ganará Texas y la elección terminará EN LA NOCHE DE LAS ELECCIONES. No hay días de espera (¿semanas?) Para contar los votos en Pennsylvania. Si quiere destruir cualquier oportunidad que tenga Trump de ganar o robar esta elección, entonces concéntrese en Texas.",2.0605,2.7849,-0.7243999999999997,0.7243999999999997
Creaciones ashley,es,R,nan,nan,2.5999,2.5999,0.0,0.0
Joe Biden,en,D,"Joe Biden understands that in order to build back better, we’ve got to start by prioritizing middle class families and small businesses, not big corporations. That’s why his plan invests billions of additional federal dollars in goods made by Americans, for Americans.","Joe Biden versteht, dass wir, um besser zurück",2.9338,2.7317,0.20210000000000017,-0.20210000000000017
Joe Biden,en,D,"As president, Joe Biden won’t just rebuild our country. He’ll build back better than ever.",Joe Biden wird als Präsident nicht nur unser Land,4.1947,4.1649,0.029799999999999827,-0.029799999999999827
Joe Biden,en,D,"83% of Trump's tax giveaway will flow to the top 1% of earners. It's time for a tax plan that helps the middle class, not the super wealthy.",83% of Trump's tax giveaway will flow to the,2.4923,1.9955,0.49680000000000013,-0.49680000000000013
Joe Biden,en,D,The Scranton Times-Tribune Endorses Joe Biden for President,The Scranton Times-Tribune endorses Joe,3.6413,3.9394,-0.2980999999999998,0.2980999999999998
Joe Biden,en,D,"It's time we reward work, not wealth. That's why under Joe Biden's plan, Americans making less than $400,000 a year won't see their taxes go up.","Es ist an der Zeit, Arbeit zu belohnen,",2.0652,3.9229,-1.8577,1.8577
Joe Biden,en,D,"Joe and Kamala are counting on your vote! Please, click below and take just a minute to confirm your polling place before Election Day on Tuesday, Nov. 3!","en to es to es, Joe and Kamala are counting on",2.4842,3.5115,-1.0272999999999999,1.0272999999999999
Joe Biden,en,D,"Every single day since Donald Trump was elected, we’ve been looking forward to this – finally, Election Day is here.\n\nTake just a minute right now to confirm your polling place, and then get out and vote Trump out on Tuesday, Nov. 3!","en to es – Jeden Tag seit der Wahl Donald Trumps, freuen",4.3388,4.5956,-0.25680000000000014,0.25680000000000014
Michelle Obama,en,D,"This election could come down to just a handful of votes per precinct in North Carolina, so I’m counting on you to make a plan to vote right now.\n\nPlease, click below and take just a minute to find your polling place and make a plan to vote for Joe!",en to es en to es könnte sich auf nur eine Handvoll,2.5649,2.8659,-0.3009999999999997,0.3009999999999997
Michelle Obama,en,D,"North Carolina, Tuesday, Nov. 3 is Election Day – and if we want to elect Joe Biden, we’ve got to vote like our lives depend on it.\n\nThere’s too much at stake to sit this election out. Please, make a plan to vote on Tuesday right now!","en to es North Carolina, Tuesday, Nov. 3 is Election Day –",2.5983,3.0399,-0.44159999999999977,0.44159999999999977
Barack Obama,en,D,"I know Joe Biden, and I know he’ll make a great president – but North Carolina, he can’t win without you.\n\nPlease, take just a minute to make your plan to vote for Joe Biden on Election Day right now.","De en es: Ich kenne Joe Biden, und ich weiß",2.1651,4.2584,-2.0933,2.0933
Joe Biden,en,D,"URGENT: Election Day is Tuesday, November 3, and a recent poll showed us neck and neck with Donald Trump!\n\nIf we’re going to turn North Carolina blue, we’re counting on Democrats like you to vote! Please, click below to confirm your polling place and make a plan to vote!","URGENT: Election Day is Tuesday, November 3, and",2.5324,3.4457,-0.9133,0.9133
Family Friendly Wisconsin,en,D,"When I vote for Joe Biden on November 3rd, I’ll be voting with my family in mind because he’s a family man.",de la es en to es When I vote for Joe Biden on,3.1649,2.9802,0.18469999999999986,-0.18469999999999986
Family Friendly Wisconsin,en,D,"In Wisconsin, we fight for our families every day. We deserve a president that gets it. Vote for Biden on or before November 3rd because we need family-friendly leadership.","en to es to es, we fight every day for our families.",4.2449,4.5821,-0.3371999999999993,0.3371999999999993
Family Friendly Wisconsin,en,D,Wisconsinites have earned a leader who knows what it’s like to work hard for their family. Vote for Joe on or before November 3rd.,Wisconsinites have earned a leader who knows what it’,4.1118,4.24,-0.12820000000000054,0.12820000000000054
Michelle Obama,en,D,"Iowa, Tuesday, Nov. 3 is Election Day – and if we want to elect Joe Biden, we’ve got to vote like our lives depend on it.\n\nThere’s too much at stake to sit this election out. Please, make a plan to vote on Tuesday right now!","en to es Iowa, Tuesday, Nov. 3 is Election Day – and",2.6636,3.0968,-0.4331999999999998,0.4331999999999998
Michelle Obama,en,D,"This election could come down to just a handful of votes per precinct in Iowa, so I’m counting on you to make a plan to vote right now.\n\nPlease, click below and take just a minute to find your polling place and make a plan to vote for Joe!",en to es en to es en to es könnte,2.5494,3.9476,-1.3982,1.3982
Joe Biden,en,D,"Tuesday, Nov. 3 is your LAST CHANCE to vote Trump out of the White House. Click below now to find your polling place and make a plan to vote!","en to es Tuesday, Nov. 3 is your LAST CHANCE to vote",2.6347,2.038,0.5967000000000002,-0.5967000000000002
Michelle Obama,en,D,"Michigan, Tuesday, Nov. 3 is Election Day – and if we want to elect Joe Biden, we’ve got to vote like our lives depend on it.\n\nThere’s too much at stake to sit this election out. Please, make a plan to vote on Tuesday right now!","en to es, Michigan, Tuesday, Nov. 3 is Election Day –",2.7057,3.3385,-0.6327999999999996,0.6327999999999996
Barack Obama,en,D,"On Tuesday, Nov. 3, we have the opportunity to elect a leader who will unify this nation.\n\nPlease, take just a minute to make your plan to vote for Joe Biden on Election Day right now.","en to es on Tuesday, Nov. 3, we have the opportunity to elect",2.9086,3.9816,-1.073,1.073
Michelle Obama,en,D,"This election could come down to just a handful of votes per precinct in Michigan, so I’m counting on you to make a plan to vote right now.\n\nPlease, click below and take just a minute to find your polling place and make a plan to vote for Joe!",en to es en to es könnte sich auf nur eine Handvoll,2.5365,2.8659,-0.3293999999999997,0.3293999999999997
Joe Biden,en,D,You can vote early in person TODAY! Don’t wait another day to cast your ballot for Joe Biden – find out where to vote now.,en to es to es en to es en to,4.2059,2.973,1.2328999999999999,-1.2328999999999999
Joe Biden,en,D,"URGENT: Election Day is Tuesday, November 3, and a recent poll showed us neck and neck with Donald Trump!\n\nIf we’re going to turn Iowa blue, we’re counting on Democrats like you to vote! Please, click below to confirm your polling place and make a plan to vote!","URGENT: Election Day is Tuesday, November 3, and",2.526,3.4457,-0.9197000000000002,0.9197000000000002
Joe Biden,en,D,"URGENT: You can cast your ballot for Joe and Kamala today!\n\nYou can vote early in person in Michigan now, so don’t wait any longer – click below to find out where you can vote.",URGENT: You can cast your ballot for Joe and,3.6283,3.8164,-0.18809999999999993,0.18809999999999993
Barack Obama,en,D,"I know Joe Biden, and I know he’ll make a great president – but Iowa, he can’t win without you.\n\nPlease, take just a minute to make your plan to vote for Joe Biden on Election Day right now.","De en es: Ich kenne Joe Biden, und ich weiß",2.2231,4.2584,-2.0353,2.0353
Joe Biden,en,D,"I’ve said it time and time again since we launched this campaign: we’re in a battle for the soul of this nation.\n\nAnd with time running out and the polls still close, the only way we’ll defeat Donald Trump is if every single one of us votes this year. That’s why I’m counting on you to find your polling place and commit to vote early today!",Ich habe es immer wieder gesagt seit der,3.9091,4.1788,-0.26969999999999983,0.26969999999999983
Joe Biden,en,D,Don’t wait until Election Day. You can vote Trump out TODAY – just click below to find out where to vote!,"en to es to es en to es, don’",2.1654,2.4731,-0.3077000000000001,0.3077000000000001
Joe Biden,en,D,"Your vote matters! As long as you’re in line when the polls close, you can cast your ballot for Joe and Kamala.\n\nIf you have questions or need assistance, call the national voter hotline at 1-833-336-8683 (1-833-DEM-VOTE).",en to es to es!,3.9224,3.4496,0.4727999999999999,-0.4727999999999999
Joe Biden,en,D,You can early vote TODAY! Don’t wait another day to cast your ballot for Joe Biden – find out where to vote now.,en to es to es en to es en to,3.5727,2.973,0.5997000000000003,-0.5997000000000003
Joe Biden,en,D,"Michigan, it’s time to vote Trump out.\n\nYou can vote Trump out TODAY – just click below to find out where to vote early in person!","en to es Michigan, it’s time to vote Trump out.n",2.8384,2.2168,0.6215999999999999,-0.6215999999999999
Barack Obama,en,D,"I know Joe Biden, and I know he’ll make a great president – but Michigan, he can’t win without you.\n\nPlease, take just a minute to make your plan to vote for Joe Biden on Election Day right now.","De en es: Ich kenne Joe Biden, und ich weiß",2.2719,4.2584,-1.9865,1.9865
Joe Biden,en,D,"URGENT: Voting is open in Michigan, and a recent poll showed Donald Trump leading by just one point!\n\nIf we’re going to turn Michigan blue, we’re counting on Democrats like you to cast your vote now and help us win. Please, click below to confirm your polling place and make a plan to vote early now!","URGENT: Voting is open in Michigan, and",2.8267,3.7773,-0.9505999999999997,0.9505999999999997
Barack Obama,en,D,"The 2020 election isn’t a few weeks away – it’s already here. Millions of people are voting, and I’m asking you to join them.\n\nClick below to confirm where you can vote early this year, and then make a plan for how and when you’re going to cast your ballot for Joe and Kamala now.",en to es to es – alegerile din 2020 nu vor mai,3.0585,2.9142,0.14429999999999987,-0.14429999999999987
Barack Obama,en,D,"The 2020 election isn’t a few weeks away – it’s already here. Millions of people are voting, and I’m asking you to join them.\n\nClick below to confirm where you can vote early in Michigan this year, and then make a plan for how and when you’re going to cast your ballot for Joe and Kamala now.",en to es to es to es – the 2020 election,3.0316,3.3455,-0.31389999999999985,0.31389999999999985
Joe Biden,en,D,Can’t wait to cast your vote for Joe this year?\n\nVoting early is easy and convenient. Click below to find out how you can vote in Iowa,Can’t wait to cast your vote for Joe this year,3.7453,3.8544,-0.1091000000000002,0.1091000000000002
Joe Biden,en,D,"URGENT: You can cast your ballot for Joe and Kamala today!\n\nYou can vote early in Minnesota now, so don’t wait any longer – click below to find out where you can vote.",URGENT: You can cast your ballot for Joe and,3.5399,3.8164,-0.27649999999999997,0.27649999999999997
Joe Biden,en,D,"URGENT: You can cast your ballot for Joe and Kamala today!\n\nYou can vote early in Iowa now, so don’t wait any longer – click below to find out where you can vote.",URGENT: You can cast your ballot for Joe and,3.5241,3.8164,-0.2923,0.2923
Joe Biden,en,D,Can’t wait to cast your vote for Joe this year?\n\nVoting early is easy and convenient. Click below to find out how you can vote in Minnesota!,Can’t wait to cast your vote for Joe this year,3.9301,3.8544,0.07569999999999988,-0.07569999999999988
Michelle Obama,en,D,"This election could come down to just a handful of votes per precinct in Georgia, so I’m counting on you to make a plan to vote right now.\n\nPlease, click below and take just a minute to find your polling place and make a plan to vote for Joe!",en to es en to es könnte sich auf nur eine Handvoll,2.5049,2.8659,-0.36099999999999977,0.36099999999999977
Joe Biden,en,D,Can’t wait to cast your vote for Joe this year?\n\nVoting early is easy and convenient. Click below to find out how you can vote in Michigan!,Can’t wait to cast your vote for Joe this year,3.9866,3.8544,0.1322000000000001,-0.1322000000000001
Joe Biden,en,D,"URGENT: Election Day is Tuesday, November 3, and a recent poll showed us neck and neck with Donald Trump!\n\nIf we’re going to turn Pennsylvania blue, we’re counting on Democrats like you to vote! Please, click below to confirm your polling place and make a plan to vote!","URGENT: Election Day is Tuesday, November 3, and",2.4889,3.4457,-0.9567999999999999,0.9567999999999999
Michelle Obama,en,D,"Georgia, Tuesday, Nov. 3 is Election Day – and if we want to elect Joe Biden, we’ve got to vote like our lives depend on it.\n\nThere’s too much at stake to sit this election out. Please, make a plan to vote on Tuesday right now!","en to es Georgia, Tuesday, Nov. 3 is Election Day – and",2.6731,3.2762,-0.6031,0.6031
Joe Biden,en,D,"URGENT: Election Day is Tuesday, November 3, and a recent poll showed Donald Trump leading by just two points!\n\nIf we’re going to turn Florida blue, we’re counting on Democrats like you to vote! Please, click below to confirm your polling place and make a plan to vote!","URGENT: Election Day is Tuesday, November 3, and",2.3012,3.4457,-1.1444999999999999,1.1444999999999999
Joe Biden,en,D,"Iowa, it’s time to vote Trump out.\n\nYou can vote Trump out TODAY – just click below to find out where to vote early in person!","De la es Iowa, este timpul să votez Trump out.nn",2.7364,2.2942,0.44220000000000015,-0.44220000000000015
Joe Biden,en,D,"URGENT: You can cast your ballot for Joe and Kamala today!\n\nYou can vote early in Michigan now, so don’t wait any longer – click below to find out where you can vote.",URGENT: You can cast your ballot for Joe and,3.5645,3.8164,-0.2519,0.2519
Michelle Obama,en,D,"Florida, Tuesday, Nov. 3 is Election Day – and if we want to elect Joe Biden, we’ve got to vote like our lives depend on it.\n\nThere’s too much at stake to sit this election out. Please, make a plan to vote on Tuesday right now!","en to es, Florida, Tuesday, Nov. 3 is Election Day –",2.5892,3.2042,-0.6150000000000002,0.6150000000000002
Joe Biden,en,D,"URGENT: Election Day is Tuesday, November 3, and a recent poll showed us neck and neck with Donald Trump!\n\nIf we’re going to keep Nevada blue, we’re counting on Democrats like you to vote! Please, click below to confirm your polling place and make a plan to vote!","URGENT: Election Day is Tuesday, November 3, and",2.6341,3.4457,-0.8115999999999999,0.8115999999999999
Michelle Obama,en,D,"This election could come down to just a handful of votes per precinct in Arizona, so I’m counting on you to make a plan to vote right now.\n\nPlease, click below and take just a minute to find your polling place and make a plan to vote for Joe!",en to es en to es en to es könnte,2.5459,3.9476,-1.4017,1.4017
Michelle Obama,en,D,"This election could come down to just a handful of votes per precinct in Florida, so I’m counting on you to make a plan to vote right now.\n\nPlease, click below and take just a minute to find your polling place and make a plan to vote for Joe!",en to es en to es könnte sich auf nur eine Handvoll,2.5181,2.8659,-0.3477999999999999,0.3477999999999999
Joe Biden,en,D,"Wisconsin, it’s time to vote Trump out.\n\nYou can vote Trump out TODAY – just click below to find out where to vote early in person!","De la es en la es Wisconsin, es ist an der",2.8234,3.1102,-0.28679999999999994,0.28679999999999994
Michelle Obama,en,D,"Pennsylvania, Tuesday, Nov. 3 is Election Day – and if we want to elect Joe Biden, we’ve got to vote like our lives depend on it.\n\nThere’s too much at stake to sit this election out. Please, make a plan to vote on Tuesday right now!","en to es, Pennsylvania, Tuesday, Nov. 3 is Election Day –",2.642,3.2716,-0.6295999999999999,0.6295999999999999
Joe Biden,en,D,"ELECTION ALERT: If you live in Minnesota, you can vote today!\n\nDon’t wait another day to vote Trump out. Voting early in Minnesota is easy and convenient – click below to find your voting location now.",ELECTION ALERT: If you live in Minnesota,4.1333,2.9276,1.2057000000000002,-1.2057000000000002
Michelle Obama,en,D,"Arizona, Tuesday, Nov. 3 is Election Day – and if we want to elect Joe Biden, we’ve got to vote like our lives depend on it.\n\nThere’s too much at stake to sit this election out. Please, make a plan to vote on Tuesday right now!","en to es, Arizona, Tuesday, Nov. 3 is Election Day –",2.699,3.2629,-0.5639000000000003,0.5639000000000003
Michelle Obama,en,D,"This election could come down to just a handful of votes per precinct in Nevada, so I’m counting on you to make a plan to vote right now.\n\nPlease, click below and take just a minute to find your polling place and make a plan to vote for Joe!",en to es en to es könnte sich auf nur eine Handvoll,2.5365,2.8659,-0.3293999999999997,0.3293999999999997
Michelle Obama,en,D,"Wisconsin, Tuesday, Nov. 3 is Election Day – and if we want to elect Joe Biden, we’ve got to vote like our lives depend on it.\n\nThere’s too much at stake to sit this election out. Please, make a plan to vote on Tuesday right now!","en to es Wisconsin, Tuesday, Nov. 3 is Election Day – and",2.7151,3.2589,-0.5438000000000001,0.5438000000000001
Michelle Obama,en,D,"This election could come down to just a handful of votes per precinct in Wisconsin, so I’m counting on you to make a plan to vote right now.\n\nPlease, click below and take just a minute to find your polling place and make a plan to vote for Joe!",en to es en to es könnte sich auf nur eine Handvoll,2.5482,2.8659,-0.31769999999999987,0.31769999999999987
Michelle Obama,en,D,"This election could come down to just a handful of votes per precinct in Pennsylvania, so I’m counting on you to make a plan to vote right now.\n\nPlease, click below and take just a minute to find your polling place and make a plan to vote for Joe!",en to es en to es könnte sich auf nur eine Handvoll,2.5015,2.8659,-0.36439999999999984,0.36439999999999984
Joe Biden,en,D,"URGENT: Election Day is Tuesday, November 3, and a recent poll showed Donald Trump leading by just two points!\n\nIf we’re going to turn Georgia blue, we’re counting on Democrats like you to vote! Please, click below to confirm your polling place and make a plan to vote!","URGENT: Election Day is Tuesday, November 3, and",2.3139,3.4457,-1.1318000000000001,1.1318000000000001
Michelle Obama,en,D,"This election could come down to just a handful of votes per precinct in Texas, so I’m counting on you to make a plan to vote right now.\n\nPlease, click below and take just a minute to find your polling place and make a plan to vote for Joe!",en to es en to es en to es könnte,2.5497,3.9476,-1.3979,1.3979
Joe Biden,en,D,"URGENT: Voting is open in Wisconsin, and a recent poll showed us neck and neck with Donald Trump!\n\nIf we’re going to turn Wisconsin blue, we’re counting on Democrats like you to cast your vote now and help us win. Please, click below to confirm your polling place and make a plan to vote early now!","URGENT: Voting is open in Wisconsin, and",2.9194,3.7235,-0.8041,0.8041
Joe Biden,en,D,"BREAKING: You can vote in Wisconsin TODAY! \n\nThe only way we can beat Trump is if people like you vote. And with early voting now open, we’re counting on you to find your voting location now.",BREAKING: You can vote in Wisconsin TODAY!,2.4042,4.1539,-1.7497000000000003,1.7497000000000003
Joe Biden,en,D,"URGENT: Election Day is Tuesday, November 3, and a recent poll showed us neck and neck with Donald Trump!\n\nIf we’re going to turn Arizona blue, we’re counting on Democrats like you to vote! Please, click below to confirm your polling place and make a plan to vote!","URGENT: Election Day is Tuesday, November 3, and",2.5189,3.4457,-0.9268000000000001,0.9268000000000001
Joe Biden,en,D,"ELECTION ALERT: If you live in Wisconsin, you can vote today!\n\nDon’t wait another day to vote Trump out. Voting early in Wisconsin is easy and convenient – click below to find your voting location now.",ELECTION ALERT: If you live in Wisconsin,4.1509,2.9562,1.1947,-1.1947
Joe Biden,en,D,"Minnesota, it’s time to vote Trump out.\n\nYou can vote Trump out TODAY – just click below to find out where to vote early in person!","Minnesota, es ist an der Zeit, Trump auszustimmen.nnYou",2.8001,3.087,-0.28690000000000015,0.28690000000000015
Joe Biden,en,D,You can vote against Donald Trump TODAY!\n\nYou can vote early in person now; click here to find out where you can vote and vote Trump out today!,en to es You can vote against Donald Trump TODAY!nn,3.1823,2.5514,0.6309,-0.6309
Joe Biden,en,D,"URGENT: You can cast your ballot for Joe and Kamala today!\n\nYou can vote early in Iowa, now, so don’t wait any longer – click below to find out where you can vote.",URGENT: You can cast your ballot for Joe and,3.5178,3.8164,-0.2986,0.2986
Joe Biden,en,D,"URGENT: Election Day is Tuesday, November 3, and a recent poll showed us neck and neck with Donald Trump!\n\nIf we’re going to turn Texas blue, we’re counting on Democrats like you to vote! Please, click below to confirm your polling place and make a plan to vote!","URGENT: Election Day is Tuesday, November 3, and",2.5293,3.4457,-0.9163999999999999,0.9163999999999999
Michelle Obama,en,D,"Texas, Tuesday, Nov. 3 is Election Day – and if we want to elect Joe Biden, we’ve got to vote like our lives depend on it.\n\nThere’s too much at stake to sit this election out. Please, make a plan to vote on Tuesday right now!","en to es, Texas, Tuesday, Nov. 3 is Election Day –",2.6405,3.2034,-0.5629,0.5629
Joe Biden,en,D,"BREAKING: You can vote in Minnesota TODAY! \n\nThe only way we can beat Trump is if people like you vote. And with in-person absentee now open, we’re counting on you to find your local voting location.",en to es to es: You can vote in Minnesota TODAY!,2.0211,3.8655,-1.8443999999999998,1.8443999999999998
Michelle Obama,en,D,"Nevada, Tuesday, Nov. 3 is Election Day – and if we want to elect Joe Biden, we’ve got to vote like our lives depend on it.\n\nThere’s too much at stake to sit this election out. Please, make a plan to vote on Tuesday right now!","en to es, Nevada, Tuesday, Nov. 3 is Election Day –",2.7049,3.3144,-0.6095000000000002,0.6095000000000002
Barack Obama,en,D,"I know Joe Biden, and I know he’ll make a great president – but Texas, he can’t win without you.\n\nPlease, take just a minute to make your plan to vote for Joe Biden on Election Day right now.","Ich kenne Joe Biden, und ich weiß",2.2378,4.4984,-2.2606,2.2606
